raceId,year,round,date,name,circuitRef,country,driverRef,code,constructorRef,grid,positionOrder,points,laps,statusId,milliseconds,rank,fastestLapSpeed
273,1993,1,1993-03-14,South African Grand Prix,kyalami,South Africa,zanardi,\N,team_lotus,16,22,0.0,16,4,\N,\N,\N
135,2002,12,2002-07-28,German Grand Prix,hockenheimring,Germany,coulthard,COU,mclaren,9,5,2.0,66,11,\N,\N,\N
675,1968,9,1968-09-08,Italian Grand Prix,monza,Italy,moser,\N,brabham-repco,0,22,0.0,0,81,\N,\N,\N
1029,2019,20,2019-11-17,Brazilian Grand Prix,interlagos,Brazil,giovinazzi,GIO,alfa,12,5,10.0,71,1,5604879,14,212.440
708,1965,10,1965-10-24,Mexican Grand Prix,rodriguez,Mexico,solana,\N,lotus-climax,9,10,0.0,55,80,\N,\N,\N
966,2016,19,2016-10-30,Mexican Grand Prix,rodriguez,Mexico,ocon,OCO,manor,20,21,0.0,69,12,\N,21,182.364
497,1981,15,1981-10-17,Caesars Palace Grand Prix,las_vegas,USA,henton,\N,toleman,0,29,0.0,0,81,\N,\N,\N
740,1961,3,1961-06-18,Belgian Grand Prix,spa,Belgium,seidel,\N,lotus-climax,0,23,0.0,0,54,\N,\N,\N
362,1989,7,1989-07-09,French Grand Prix,ricard,France,gachot,\N,onyx,11,13,0.0,76,5,\N,\N,\N
758,1959,3,1959-05-31,Dutch Grand Prix,zandvoort,Netherlands,ireland,\N,team_lotus,9,4,3.0,74,11,\N,\N,\N
185,1999,11,1999-08-15,Hungarian Grand Prix,hungaroring,Hungary,wurz,WUR,benetton,7,7,0.0,77,1,6444548,\N,\N
809,1953,2,1953-05-30,Indianapolis 500,indianapolis,USA,parsons,\N,kurtis_kraft,8,26,0.0,86,5,\N,\N,\N
218,1997,12,1997-08-24,Belgian Grand Prix,spa,Belgium,michael_schumacher,MSC,ferrari,3,1,10.0,44,1,5626717,\N,\N
1037,2020,7,2020-08-30,Belgian Grand Prix,spa,Belgium,stroll,STR,racing_point,9,9,2.0,44,1,5101364,13,231.036
233,1996,10,1996-07-14,British Grand Prix,silverstone,UK,michael_schumacher,MSC,ferrari,3,20,0.0,3,9,\N,\N,\N
336,1990,16,1990-11-04,Australian Grand Prix,adelaide,Australia,modena,\N,brabham,17,12,0.0,77,14,\N,\N,\N
60,2006,8,2006-06-11,British Grand Prix,silverstone,UK,montoya,MON,mclaren,8,6,3.0,60,1,5216696,8,223.575
102,2004,13,2004-08-15,Hungarian Grand Prix,hungaroring,Hungary,klien,KLI,jaguar,14,13,0.0,68,12,\N,17,191.101
67,2006,15,2006-09-10,Italian Grand Prix,monza,Italy,yamamoto,YAM,super_aguri,22,21,0.0,18,9,\N,22,240.962
487,1981,5,1981-05-17,Belgian Grand Prix,zolder,Belgium,patrese,\N,arrows,4,23,0.0,0,4,\N,\N,\N
268,1994,12,1994-09-11,Italian Grand Prix,monza,Italy,brabham,\N,simtek,26,11,0.0,46,29,\N,\N,\N
1133,2024,13,2024-07-21,Hungarian Grand Prix,hungaroring,Hungary,bottas,BOT,sauber,12,16,0.0,69,11,\N,13,190.496
256,1995,17,1995-11-12,Australian Grand Prix,adelaide,Australia,barrichello,BAR,jordan,7,18,0.0,20,20,\N,\N,\N
656,1969,1,1969-03-01,South African Grand Prix,kyalami,South Africa,hill,\N,lotus-ford,7,2,6.0,80,1,6657900,\N,\N
569,1976,10,1976-08-01,German Grand Prix,nurburgring,Germany,scheckter,\N,tyrrell,8,2,6.0,14,1,6130400,\N,\N
240,1995,1,1995-03-26,Brazilian Grand Prix,interlagos,Brazil,schiattarella,\N,simtek,26,23,0.0,12,38,\N,\N,\N
608,1973,4,1973-04-29,Spanish Grand Prix,montjuic,Spain,hailwood,\N,surtees,9,19,0.0,25,44,\N,\N,\N
1051,2021,20,2021-11-21,Qatar Grand Prix,losail,Qatar,stroll,STR,aston_martin,12,6,8.0,57,1,5149745,17,221.713
918,2014,19,2014-11-23,Abu Dhabi Grand Prix,yas_marina,UAE,vettel,VET,red_bull,19,8,8.0,55,1,6014664,3,189.427
21,2008,4,2008-04-27,Spanish Grand Prix,catalunya,Spain,sutil,SUT,force_india,20,21,0.0,0,4,\N,\N,\N
828,1951,4,1951-07-01,French Grand Prix,reims,France,graffenried,\N,maserati,16,22,0.0,1,7,\N,\N,\N
1052,2021,1,2021-03-28,Bahrain Grand Prix,bahrain,Bahrain,russell,RUS,williams,15,14,0.0,55,11,\N,12,205.008
501,1980,4,1980-03-30,United States Grand Prix West,long_beach,USA,piquet,\N,brabham,1,1,9.0,80,1,6619400,\N,\N
421,1985,2,1985-04-21,Portuguese Grand Prix,estoril,Portugal,senna,\N,team_lotus,1,1,9.0,67,1,7228006,\N,\N
833,1950,1,1950-05-13,British Grand Prix,silverstone,UK,reg_parnell,\N,alfa,4,3,4.0,70,1,8055600,\N,\N
346,2010,10,2010-07-11,British Grand Prix,silverstone,UK,alguersuari,ALG,toro_rosso,17,21,0.0,44,23,\N,12,226.219
787,1956,4,1956-06-03,Belgian Grand Prix,spa,Belgium,behra,\N,maserati,4,7,0.0,33,13,\N,\N,\N
36,2007,1,2007-03-18,Australian Grand Prix,albert_park,Australia,webber,WEB,red_bull,7,13,0.0,57,11,\N,9,218.178
795,1955,4,1955-06-05,Belgian Grand Prix,spa,Belgium,musso,\N,maserati,7,7,0.0,34,12,\N,\N,\N
1122,2024,2,2024-03-09,Saudi Arabian Grand Prix,jeddah,Saudi Arabia,ocon,OCO,alpine,17,13,0.0,49,11,\N,17,237.763
505,1980,8,1980-07-13,British Grand Prix,brands_hatch,UK,daly,\N,tyrrell,10,4,3.0,75,11,\N,\N,\N
1085,2022,12,2022-07-24,French Grand Prix,ricard,France,kevin_magnussen,MAG,haas,20,18,0.0,37,130,\N,17,211.869
1070,2021,18,2021-11-07,Mexico City Grand Prix,rodriguez,Mexico,tsunoda,TSU,alphatauri,17,20,0.0,0,4,\N,0,\N
283,1993,11,1993-08-15,Hungarian Grand Prix,hungaroring,Hungary,andretti,\N,mclaren,11,25,0.0,15,37,\N,\N,\N
736,1962,8,1962-10-07,United States Grand Prix,watkins_glen,USA,penske,\N,lotus-climax,13,9,0.0,96,14,\N,\N,\N
76,2005,6,2005-05-22,Monaco Grand Prix,monaco,Monaco,raikkonen,RAI,mclaren,1,1,10.0,78,1,6315556,2,158.375
